city_en,city_ua,x,y
Cherkasy,Черкаси,-2,94
Chernihiv,Чернігів,13,255
Chernivtsi,Чернівці,-277,27
Crimea,Крим,152,-205
Dnipro,Дніпро,166,47
Donetsk,Донецьк,307,20
Ivano-Frankivsk,Івано-Франківськ,-332,72
Kharkiv,Харків,231,158
Kherson,Херсон,115,-92
Khmelnytskyi,Хмельницький,-220,122
Kropyvnytskyi,Кропивницький,41,39
Kyiv,Київ,-47,175
Luhansk,Луганськ,377,82
Lviv,Львів,-341,165
Lutsk,Луцьк,-310,255
Mykolaiv,Миколаїв,31,-43
Odessa,Одеса,-42,-92
Poltava,Полтава,115,140
Rivne,Рівне,-229,230
Sumy,Суми,136,229
Ternopil,Тернопіль,-284,128
Vinnytsia,Вінниця,-138,76
Uzhhorod,Ужгород,-417,58
Zaporizhzhia,Запоріжжя,219,-44
Zhytomyr,Житомир,-144,195
